GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG 
1670	02418979	Jamul Indian Village	0	0	59534	0	0.023	0.000	32.702651	-116.870852 
1685	00916031	Jemez Pueblo	1815	522	361713786	13020	139.658	0.005	35.759354	-106.882109
1690	02453210	Jena Band of Choctaw Reservation	0	0	262652	0	0.101	0.000	31.438102	-92.497824
1700	01934339	Jicarilla Apache Nation Reservation	3250	1171	3405591475	10114525	1314.906	3.905	36.554535	-107.067712
1720	00023994	Kaibab Indian Reservation	240	97	491433194	19920	189.743	0.008	36.911113	-112.666865 
1735	01528426	Kalispel Reservation	231	61	20190277	310448	7.796	0.120	48.356477	-117.276365
1750	02418982	Karuk Reservation	73	22	67101	0	0.026	0.000	41.800931	-123.376732
1770	00479833	Kickapoo (KS) Reservation	4134	1942	611934187	1457980	236.269	0.563	39.674648	-95.610927
1775	02418986	Kickapoo (TX) Reservation	366	140	496850	1492	0.192	0.001	28.610032	-100.437569
1785	02418990	Klamath Reservation	26	19	1287240	0	0.497	0.000	42.535168	-121.880253
1800	00394860	Kootenai Reservation	51	19	90698	0	0.035	0.000	48.707748	-116.369830 
1815	01577192	Lac Courte Oreilles Reservation	2794	2115	277738299	41309816	107.235	15.950	45.881157	-91.330564 
1825	01580845	Lac du Flambeau Reservation	3442	3354	277156580	73028507	107.011	28.196	45.984764	-89.879628 
1830	02418993	Lac Vieux Desert Reservation	137	53	998157	0	0.385	0.000	46.282524	-89.172383 
1840	01934340	Laguna Pueblo	4043	1367	2033853391	2354663	785.275	0.909	35.027112	-107.234011 
1850	00271928	La Jolla Reservation	476	181	34958047	0	13.497	0.000	33.265036	-116.849704
1860	01934336	Lake Traverse Reservation	10922	5475	3753467654	153560697	1449.222	59.290	45.643635	-97.092371
1880	01616978	L'Anse Reservation	3566	1774	237839952	46850103	91.831	18.089	46.780002	-88.370182
1895	00255947	La Posta Indian Reservation	55	19	16560587	0	6.394	0.000	32.734509	-116.391249 
1915	00853945	Las Vegas Indian Colony	154	31	16150939	0	6.236	0.000	36.350553	-115.340989
1925	00226975	Laytonville Rancheria	212	69	788337	0	0.304	0.000	39.669290	-123.500682
1940	00659096	Leech Lake Reservation	10660	7756	2521446007	872654872	973.536	336.934	47.353891	-94.242020 
1955	00276402	Likely Rancheria	0	0	6237	0	0.002	0.000	41.204769	-120.478831
1960	02418998	Little River Reservation	1	0	702364	7307	0.271	0.003	44.286276	-86.248740 
1963	02419000	Little Traverse Bay Reservation	51	27	2236749	928	0.864	0.000	45.354375	-84.978622
